,order_id,date,customer_id,product,quantity,unit_price,shipping_address,payment_method,order_status,tracking_number,items_in_cart,coupon_code,referral_source,total_price
86,ORD200086,2024-06-19,C88205,Printer,5,643.03,447 Main St,ONLINE,CANCELLED,TRK93504166,5,FREESHIP,Referral,3215.15
87,ORD200087,2024-10-10,C91245,Tablet,3,225.11,915 Main St,CASH,SHIPPED,TRK46976391,4,SAVE10,Facebook,675.33
88,ORD200088,2025-06-05,C75439,Desk,3,114.81,318 Main St,GIFT CARD,CANCELLED,TRK19831653,7,NO_COUPON,Google,344.43
89,ORD200089,2025-02-25,C17181,Printer,5,455.33,291 Main St,CREDIT CARD,CANCELLED,TRK78912978,8,FREESHIP,Google,2276.65
90,ORD200090,2023-09-18,C36540,Chair,4,182.08,611 Main St,GIFT CARD,DELIVERED,TRK35828122,4,SAVE10,Email,728.32
91,ORD200091,2023-03-15,C98216,Laptop,5,492.75,196 Main St,CASH,SHIPPED,TRK40986666,6,WINTER15,Referral,2463.75
92,ORD200092,2024-06-10,C29568,Printer,4,48.61,203 Main St,ONLINE,SHIPPED,TRK46531075,7,FREESHIP,Facebook,194.44
93,ORD200093,2023-01-14,C97262,Desk,4,431.01,837 Main St,CREDIT CARD,RETURNED,TRK65990229,7,NO_COUPON,Referral,1724.04
94,ORD200094,2023-02-11,C79821,Chair,1,531.18,781 Main St,GIFT CARD,RETURNED,TRK12780193,6,WINTER15,Instagram,531.18
95,ORD200095,2023-03-24,C76761,Printer,4,117.51,839 Main St,DEBIT CARD,RETURNED,TRK60179774,7,NO_COUPON,Referral,470.04
96,ORD200096,2024-06-01,C93007,Phone,2,232.83,103 Main St,GIFT CARD,DELIVERED,TRK85696091,7,NO_COUPON,Instagram,465.66
97,ORD200097,2025-01-21,C15624,Tablet,5,619.52,922 Main St,DEBIT CARD,PENDING,TRK40621141,9,NO_COUPON,Email,3097.6
98,ORD200098,2023-01-14,C70921,Printer,2,228.54,533 Main St,DEBIT CARD,PENDING,TRK54983109,3,NO_COUPON,Email,457.08
99,ORD200099,2025-04-12,C30477,Printer,1,201.58,717 Main St,DEBIT CARD,CANCELLED,TRK51829648,2,WINTER15,Email,201.58
100,ORD200100,2023-02-17,C74866,Phone,3,664.79,743 Main St,ONLINE,DELIVERED,TRK53783265,6,NO_COUPON,Facebook,1994.37
101,ORD200101,2023-11-25,C15283,Printer,1,381.02,152 Main St,CASH,SHIPPED,TRK19286291,6,NO_COUPON,Google,381.02
102,ORD200102,2023-03-08,C18037,Laptop,2,70.34,944 Main St,GIFT CARD,CANCELLED,TRK47362236,3,FREESHIP,Email,140.68
103,ORD200103,2025-01-25,C62656,Phone,4,218.43,514 Main St,CREDIT CARD,CANCELLED,TRK86296459,9,SAVE10,Email,873.72
104,ORD200104,2024-07-30,C65744,Phone,1,582.04,647 Main St,GIFT CARD,DELIVERED,TRK39906058,1,FREESHIP,Email,582.04
105,ORD200105,2024-10-24,C72290,Printer,3,185.4,810 Main St,GIFT CARD,CANCELLED,TRK68792129,7,NO_COUPON,Facebook,556.2
106,ORD200106,2023-09-08,C73514,Desk,3,465.05,126 Main St,CREDIT CARD,CANCELLED,TRK96777924,3,SAVE10,Email,1395.15
107,ORD200107,2023-03-27,C16775,Printer,5,670.75,848 Main St,GIFT CARD,SHIPPED,TRK34392124,8,FREESHIP,Instagram,3353.75
108,ORD200108,2024-12-28,C33099,Laptop,5,48.38,522 Main St,GIFT CARD,DELIVERED,TRK28522330,9,WINTER15,Email,241.9
109,ORD200109,2023-09-17,C51157,Desk,3,592.87,131 Main St,GIFT CARD,SHIPPED,TRK18674578,3,FREESHIP,Referral,1778.61
110,ORD200110,2024-04-21,C74562,Tablet,1,220.77,388 Main St,GIFT CARD,PENDING,TRK32062079,5,FREESHIP,Instagram,220.77
111,ORD200111,2025-05-07,C95271,Desk,3,309.22,620 Main St,ONLINE,CANCELLED,TRK74904969,7,FREESHIP,Google,927.66
112,ORD200112,2023-01-01,C81366,Monitor,1,410.6,423 Main St,ONLINE,CANCELLED,TRK17062206,2,WINTER15,Referral,410.6
113,ORD200113,2024-01-17,C65905,Laptop,5,190.08,605 Main St,CASH,SHIPPED,TRK73954365,9,FREESHIP,Instagram,950.4
114,ORD200114,2025-01-27,C77272,Monitor,5,498.48,115 Main St,ONLINE,PENDING,TRK29708128,8,SAVE10,Google,2492.4
115,ORD200115,2023-11-27,C32580,Phone,5,374.99,122 Main St,ONLINE,SHIPPED,TRK23670394,9,SAVE10,Facebook,1874.95
116,ORD200116,2023-03-19,C47761,Printer,4,291.35,109 Main St,CREDIT CARD,CANCELLED,TRK66669207,6,WINTER15,Facebook,1165.4
117,ORD200117,2023-03-08,C49187,Tablet,1,535.5,593 Main St,GIFT CARD,CANCELLED,TRK81888598,5,WINTER15,Referral,535.5
118,ORD200118,2023-10-09,C27898,Printer,5,502.71,807 Main St,GIFT CARD,SHIPPED,TRK61957665,7,FREESHIP,Google,2513.55
119,ORD200119,2025-06-11,C14683,Desk,2,534.67,187 Main St,DEBIT CARD,SHIPPED,TRK47373682,7,FREESHIP,Referral,1069.34
120,ORD200120,2023-04-11,C58108,Tablet,4,629.34,986 Main St,CASH,CANCELLED,TRK66218053,4,WINTER15,Instagram,2517.36
121,ORD200121,2023-11-30,C89822,Desk,1,410.78,673 Main St,CASH,CANCELLED,TRK24138598,1,FREESHIP,Instagram,410.78
122,ORD200122,2024-04-15,C96787,Laptop,2,533.02,588 Main St,GIFT CARD,SHIPPED,TRK30422853,2,NO_COUPON,Facebook,1066.04
123,ORD200123,2023-07-06,C86064,Desk,3,278.04,727 Main St,ONLINE,DELIVERED,TRK62182901,5,NO_COUPON,Instagram,834.12
124,ORD200124,2024-07-28,C97148,Printer,4,283.79,563 Main St,ONLINE,PENDING,TRK85321126,8,NO_COUPON,Google,1135.16
125,ORD200125,2024-11-06,C91099,Phone,2,512.65,758 Main St,CREDIT CARD,SHIPPED,TRK81846174,5,SAVE10,Email,1025.3
126,ORD200126,2025-05-03,C55606,Desk,4,275.5,353 Main St,GIFT CARD,SHIPPED,TRK68250319,8,FREESHIP,Google,1102.0
127,ORD200127,2023-08-10,C71486,Desk,3,469.32,365 Main St,DEBIT CARD,SHIPPED,TRK73929833,3,NO_COUPON,Google,1407.96
128,ORD200128,2023-02-17,C86408,Tablet,4,21.07,244 Main St,GIFT CARD,DELIVERED,TRK41432648,4,FREESHIP,Google,84.28
129,ORD200129,2023-10-27,C52751,Laptop,4,263.93,427 Main St,DEBIT CARD,SHIPPED,TRK72481234,4,FREESHIP,Facebook,1055.72
130,ORD200130,2025-01-22,C29059,Desk,3,501.3,513 Main St,ONLINE,CANCELLED,TRK88360704,3,WINTER15,Facebook,1503.9
131,ORD200131,2023-01-08,C72862,Tablet,1,84.8,606 Main St,GIFT CARD,PENDING,TRK51648833,5,NO_COUPON,Instagram,84.8
132,ORD200132,2023-03-28,C96257,Tablet,4,450.75,583 Main St,CREDIT CARD,SHIPPED,TRK13137948,6,WINTER15,Email,1803.0
133,ORD200133,2025-06-20,C87432,Chair,4,302.05,636 Main St,DEBIT CARD,CANCELLED,TRK68969625,6,SAVE10,Google,1208.2
134,ORD200134,2025-06-23,C16253,Laptop,2,199.7,583 Main St,CASH,PENDING,TRK17354894,4,NO_COUPON,Email,399.4
135,ORD200135,2023-08-04,C79909,Printer,2,68.81,642 Main St,GIFT CARD,SHIPPED,TRK86742257,5,SAVE10,Referral,137.62
136,ORD200136,2024-04-27,C73370,Laptop,1,44.35,595 Main St,GIFT CARD,CANCELLED,TRK67820278,1,SAVE10,Instagram,44.35
137,ORD200137,2024-11-26,C50682,Monitor,2,250.98,598 Main St,CREDIT CARD,DELIVERED,TRK12242337,5,NO_COUPON,Google,501.96
138,ORD200138,2023-12-21,C21905,Tablet,1,298.06,478 Main St,DEBIT CARD,PENDING,TRK31863841,3,WINTER15,Google,298.06
139,ORD200139,2023-04-10,C61440,Phone,1,583.9,714 Main St,CASH,RETURNED,TRK33114521,1,NO_COUPON,Email,583.9
140,ORD200140,2025-05-31,C33110,Chair,3,528.14,388 Main St,ONLINE,DELIVERED,TRK38624225,3,FREESHIP,Email,1584.42
141,ORD200141,2023-11-18,C80004,Printer,3,684.14,151 Main St,CASH,CANCELLED,TRK66230753,3,WINTER15,Instagram,2052.42
142,ORD200142,2023-09-06,C86374,Desk,5,272.77,573 Main St,CASH,PENDING,TRK79451491,7,WINTER15,Email,1363.85
143,ORD200143,2024-06-13,C66521,Chair,4,400.07,933 Main St,ONLINE,SHIPPED,TRK34654244,5,NO_COUPON,Referral,1600.28
144,ORD200144,2023-08-04,C63365,Desk,5,219.78,895 Main St,CREDIT CARD,PENDING,TRK80100887,8,NO_COUPON,Facebook,1098.9
145,ORD200145,2024-03-02,C85929,Printer,3,146.91,798 Main St,CREDIT CARD,DELIVERED,TRK29318610,6,FREESHIP,Google,440.73
146,ORD200146,2025-04-30,C84645,Tablet,2,411.49,404 Main St,CREDIT CARD,RETURNED,TRK68893369,4,NO_COUPON,Instagram,822.98
147,ORD200147,2025-05-06,C46316,Laptop,2,465.18,893 Main St,CREDIT CARD,CANCELLED,TRK16196000,2,SAVE10,Google,930.36
148,ORD200148,2024-12-15,C35100,Phone,2,319.91,139 Main St,CREDIT CARD,CANCELLED,TRK56853491,3,WINTER15,Google,639.82
149,ORD200149,2023-12-27,C39671,Laptop,1,217.56,174 Main St,DEBIT CARD,DELIVERED,TRK47153818,3,NO_COUPON,Facebook,217.56
150,ORD200150,2023-12-13,C25503,Phone,2,105.57,981 Main St,DEBIT CARD,RETURNED,TRK29878837,5,WINTER15,Google,211.14
151,ORD200151,2023-12-01,C32960,Printer,5,444.76,947 Main St,DEBIT CARD,RETURNED,TRK91226500,7,NO_COUPON,Email,2223.8
152,ORD200152,2025-01-02,C77736,Chair,2,399.04,659 Main St,CASH,CANCELLED,TRK90329250,3,FREESHIP,Referral,798.08
153,ORD200153,2024-12-18,C71570,Chair,4,534.48,437 Main St,ONLINE,RETURNED,TRK95992269,9,WINTER15,Instagram,2137.92
154,ORD200154,2023-07-20,C73587,Phone,4,408.21,727 Main St,CREDIT CARD,PENDING,TRK13955543,9,NO_COUPON,Instagram,1632.84
155,ORD200155,2023-02-27,C62740,Phone,1,424.4,446 Main St,ONLINE,SHIPPED,TRK20706408,6,WINTER15,Referral,424.4
156,ORD200156,2024-11-08,C58808,Chair,2,269.83,651 Main St,ONLINE,DELIVERED,TRK24451893,4,SAVE10,Email,539.66
157,ORD200157,2025-02-21,C50422,Monitor,2,564.58,636 Main St,ONLINE,RETURNED,TRK71227815,4,WINTER15,Facebook,1129.16
158,ORD200158,2024-05-16,C23334,Tablet,1,331.06,737 Main St,CREDIT CARD,PENDING,TRK46335144,5,WINTER15,Instagram,331.06
159,ORD200159,2023-10-31,C48965,Printer,1,299.35,819 Main St,CREDIT CARD,CANCELLED,TRK50921780,5,WINTER15,Email,299.35
160,ORD200160,2023-02-17,C38669,Monitor,4,101.32,240 Main St,CASH,PENDING,TRK81738254,7,NO_COUPON,Referral,405.28
161,ORD200161,2024-03-29,C35091,Monitor,1,211.14,513 Main St,CREDIT CARD,CANCELLED,TRK53784452,1,SAVE10,Facebook,211.14
162,ORD200162,2023-07-27,C82313,Chair,3,65.86,917 Main St,ONLINE,PENDING,TRK79854624,8,WINTER15,Google,197.58
163,ORD200163,2025-06-24,C99589,Tablet,1,641.39,277 Main St,ONLINE,CANCELLED,TRK16695001,1,NO_COUPON,Referral,641.39
164,ORD200164,2023-12-28,C70566,Desk,5,536.58,667 Main St,GIFT CARD,PENDING,TRK49673411,5,SAVE10,Google,2682.9
165,ORD200165,2024-09-14,C60355,Monitor,2,500.29,226 Main St,ONLINE,RETURNED,TRK30155194,7,WINTER15,Google,1000.58
166,ORD200166,2025-03-04,C28889,Chair,3,86.29,565 Main St,CASH,DELIVERED,TRK23791726,6,WINTER15,Instagram,258.87
167,ORD200167,2023-05-27,C88304,Chair,2,384.14,219 Main St,ONLINE,RETURNED,TRK44268941,2,WINTER15,Email,768.28
168,ORD200168,2025-01-04,C49517,Printer,1,594.96,878 Main St,CASH,RETURNED,TRK78551375,6,NO_COUPON,Facebook,594.96
169,ORD200169,2024-04-07,C35785,Printer,1,427.82,732 Main St,ONLINE,DELIVERED,TRK78923089,2,WINTER15,Email,427.82
170,ORD200170,2025-04-04,C80223,Desk,4,662.94,535 Main St,CASH,CANCELLED,TRK68632951,8,SAVE10,Instagram,2651.76
171,ORD200171,2023-08-15,C20448,Tablet,2,148.22,336 Main St,CREDIT CARD,DELIVERED,TRK67379895,7,WINTER15,Instagram,296.44
172,ORD200172,2025-04-06,C34134,Printer,1,254.12,365 Main St,ONLINE,DELIVERED,TRK43074303,1,WINTER15,Email,254.12
173,ORD200173,2024-03-24,C95901,Phone,3,664.46,806 Main St,ONLINE,DELIVERED,TRK56989066,4,FREESHIP,Google,1993.38
174,ORD200174,2024-04-16,C51145,Printer,4,600.81,790 Main St,DEBIT CARD,DELIVERED,TRK59154274,9,SAVE10,Email,2403.24
175,ORD200175,2025-02-08,C78170,Chair,5,68.34,332 Main St,DEBIT CARD,PENDING,TRK71410605,6,WINTER15,Referral,341.7
176,ORD200176,2025-06-28,C80151,Tablet,4,430.83,553 Main St,GIFT CARD,PENDING,TRK88251529,8,WINTER15,Referral,1723.32
177,ORD200177,2023-08-05,C55632,Chair,5,431.69,354 Main St,CREDIT CARD,PENDING,TRK13003066,10,NO_COUPON,Facebook,2158.45
178,ORD200178,2024-04-11,C53070,Chair,4,512.06,283 Main St,ONLINE,DELIVERED,TRK49791755,5,SAVE10,Google,2048.24
179,ORD200179,2024-11-24,C27401,Laptop,3,539.91,500 Main St,CREDIT CARD,DELIVERED,TRK14332053,8,NO_COUPON,Email,1619.73
180,ORD200180,2023-03-18,C87216,Tablet,5,316.07,970 Main St,CASH,RETURNED,TRK18713727,10,NO_COUPON,Google,1580.35
181,ORD200181,2024-08-31,C38966,Printer,5,404.39,247 Main St,ONLINE,SHIPPED,TRK17205146,10,NO_COUPON,Referral,2021.95
182,ORD200182,2025-03-19,C16612,Desk,1,600.54,596 Main St,DEBIT CARD,PENDING,TRK96188223,4,WINTER15,Google,600.54
183,ORD200183,2024-04-18,C39246,Monitor,5,186.28,258 Main St,DEBIT CARD,DELIVERED,TRK16658182,8,SAVE10,Email,931.4
184,ORD200184,2024-04-04,C65180,Tablet,4,214.54,231 Main St,GIFT CARD,CANCELLED,TRK39255469,7,NO_COUPON,Referral,858.16
185,ORD200185,2025-02-02,C46877,Laptop,1,210.7,572 Main St,ONLINE,SHIPPED,TRK96935978,2,WINTER15,Referral,210.7
186,ORD200186,2023-12-07,C30334,Phone,2,133.55,322 Main St,CASH,PENDING,TRK66388885,7,FREESHIP,Facebook,267.1
187,ORD200187,2023-02-08,C21227,Chair,1,590.87,689 Main St,GIFT CARD,RETURNED,TRK79129657,6,FREESHIP,Referral,590.87
188,ORD200188,2025-03-15,C97715,Chair,2,363.91,927 Main St,GIFT CARD,SHIPPED,TRK19515949,2,FREESHIP,Referral,727.82
